ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000097429,7,2,7,0,23,7,11,7
ENSMUSG00000020668,456,113,501,90,661,550,571,502
ENSMUSG00000071456,41,8,52,17,55,79,46,72
ENSMUSG00000037486,1501,548,1628,612,1560,1523,1501,1769
ENSMUSG00000071454,206,97,170,109,112,42,116,43
ENSMUSG00000020661,3425,3703,3270,3331,2656,6958,2551,7147
ENSMUSG00000020658,1168,627,1033,604,137,210,126,199
ENSMUSG00000020657,229,57,222,75,200,94,186,100
ENSMUSG00000020654,314,87,329,97,485,290,394,257
ENSMUSG00000020652,597,296,579,274,463,379,525,316
ENSMUSG00000096199,303,240,317,233,290,199,296,191
ENSMUSG00000020647,1285,3504,1500,3530,1977,2617,1975,2834
ENSMUSG00000020640,2220,1687,2522,1785,2891,2615,2852,2984
ENSMUSG00000037361,1432,966,1415,893,1044,920,1036,898
ENSMUSG00000020635,459,443,402,338,440,423,426,378
ENSMUSG00000051721,143,42,160,33,134,67,131,86
ENSMUSG00000020634,483,216,503,216,327,211,331,193
ENSMUSG00000052812,308,393,390,390,342,279,301,334
ENSMUSG00000020627,16,13,10,13,18,12,24,14
ENSMUSG00000037669,1444,1094,1416,979,1260,1061,1178,1089
ENSMUSG00000020605,860,440,910,419,1746,1067,1685,940
ENSMUSG00000054364,2247,1867,2238,1981,3486,1455,3318,1286
ENSMUSG00000020594,4429,2690,5002,2856,4662,3504,4828,3924
ENSMUSG00000020592,980,659,813,500,809,89,564,69
ENSMUSG00000020585,8199,15554,8164,15347,13570,14485,13383,14885
ENSMUSG00000066643,124,52,120,62,194,69,186,61
ENSMUSG00000066637,182,62,208,46,172,197,215,171
ENSMUSG00000020621,267,230,276,193,291,324,292,299
ENSMUSG00000066632,934,1087,981,1045,432,312,461,248
ENSMUSG00000051235,492,96,589,94,307,72,329,71
ENSMUSG00000020608,2337,633,2558,693,1477,942,1552,1024
ENSMUSG00000020589,1179,2551,1153,2738,2767,3986,2625,4618
ENSMUSG00000066629,356,296,301,262,440,234,402,214
ENSMUSG00000037149,2279,1024,2414,954,1293,1022,1361,1118
ENSMUSG00000020576,445,421,474,369,344,478,307,533
ENSMUSG00000050974,0,17,0,19,1,3,1,2
ENSMUSG00000020601,33,2,43,4,1,2,0,3
ENSMUSG00000020593,567,43,549,52,2223,531,2218,546
ENSMUSG00000057469,933,121,940,114,405,295,431,370
ENSMUSG00000020580,2160,469,2557,480,2021,1118,2014,1351
ENSMUSG00000045679,3119,1948,3090,1987,4213,4581,4078,4608
ENSMUSG00000071398,18,1,11,3,42,11,41,6
ENSMUSG00000020571,6302,6418,6440,6600,3585,4493,4084,4337
ENSMUSG00000061458,534,334,517,380,167,275,153,307
ENSMUSG00000011179,3175,3588,3102,3607,323,1370,358,1666
ENSMUSG00000071379,3835,5137,3458,5044,3607,5244,3334,5253
ENSMUSG00000069755,62,13,72,27,63,42,58,37
ENSMUSG00000052632,305,30,305,37,96,35,104,32
ENSMUSG00000062352,684,364,631,381,628,781,571,687
ENSMUSG00000054309,1705,804,1781,829,1880,1523,1910,1423
ENSMUSG00000062054,717,443,657,371,721,500,675,476
ENSMUSG00000052593,5092,2318,5489,2682,7025,2753,6710,2955
ENSMUSG00000076432,2005,1454,2170,1520,1649,1008,1735,1110
ENSMUSG00000057160,142,144,81,144,108,85,114,93
ENSMUSG00000059669,319,310,372,283,401,315,378,334
ENSMUSG00000020656,34,28,39,28,1,5,4,4
ENSMUSG00000020653,184,125,176,124,377,231,344,286
ENSMUSG00000020649,4201,602,4017,486,1488,297,1707,322
ENSMUSG00000036333,3078,1993,3295,2208,3905,2296,3627,2335
ENSMUSG00000020644,4247,4972,4376,5270,893,3007,896,3550
ENSMUSG00000020642,19,65,13,45,133,10,84,10
ENSMUSG00000020641,1321,238936,725,258439,2209,51757,1870,61743
ENSMUSG00000020638,730,133703,474,141391,1470,36891,1187,43889
ENSMUSG00000061477,395,219,369,215,406,223,381,243
ENSMUSG00000020630,420,295,402,227,223,375,235,345
ENSMUSG00000020629,592,257,599,280,1148,860,1220,822
ENSMUSG00000020628,1072,535,1107,516,1097,766,1064,839
ENSMUSG00000036613,607,559,585,543,498,482,515,526
ENSMUSG00000043061,727,199,723,219,748,502,693,590
ENSMUSG00000044573,1005,686,1151,708,949,707,892,719
ENSMUSG00000020669,22,8,13,5,37,6,33,13
ENSMUSG00000020664,2347,1344,2370,1460,1638,1679,1669,1743
ENSMUSG00000020659,692,455,709,492,658,737,684,734
ENSMUSG00000020650,1093,516,1074,550,490,582,494,573
ENSMUSG00000020648,73,15,96,14,19,53,16,50
ENSMUSG00000035933,394,197,411,179,393,428,392,494
ENSMUSG00000002996,2312,2724,2279,2418,5987,3892,5509,4042
ENSMUSG00000002997,924,40,1009,39,631,146,618,162
ENSMUSG00000020573,5106,313,5657,293,5289,2037,5792,1961
ENSMUSG00000090946,2041,1695,2060,1654,1286,1628,1390,1787
ENSMUSG00000020572,2202,12609,2337,12956,2634,6430,2693,7292
ENSMUSG00000096954,18,103,24,116,37,83,40,140
ENSMUSG00000020570,3572,2141,3865,2152,3359,2206,3339,2359
ENSMUSG00000020564,1124,2702,1221,2671,1739,2500,1670,2465
ENSMUSG00000020561,683,228,786,228,595,488,486,497
ENSMUSG00000004698,622,284,637,282,421,376,540,397
ENSMUSG00000020590,1825,1947,2081,1957,2059,2317,2035,2457
ENSMUSG00000019256,95,15,105,20,668,87,542,71
ENSMUSG00000020577,637,1893,632,1746,746,1039,770,1194
ENSMUSG00000059301,69,46,65,46,56,62,59,68
ENSMUSG00000020547,947,264,928,259,299,170,350,159
ENSMUSG00000036188,665,382,691,395,728,499,704,488
ENSMUSG00000043153,32,17,30,21,38,12,37,17
ENSMUSG00000050103,35,11,36,14,172,97,178,131
ENSMUSG00000004151,260,166,318,137,177,284,227,256
ENSMUSG00000047446,359,1488,369,1430,291,396,287,439
ENSMUSG00000001627,694,660,699,621,299,1104,254,1175
ENSMUSG00000055917,733,302,774,340,1078,678,999,620
ENSMUSG00000035954,1028,227,1214,236,678,712,762,829
ENSMUSG00000056899,21,16,22,26,23,4,29,2
ENSMUSG00000014905,1269,788,1239,861,1297,1207,1293,1257
ENSMUSG00000036257,1064,903,1090,914,2073,948,1968,1104
ENSMUSG00000020598,378,129,376,176,492,177,407,146
ENSMUSG00000046314,67,4,90,4,94,7,100,5
ENSMUSG00000091277,289,49,245,51,208,109,213,114
ENSMUSG00000035293,804,128,941,117,938,234,1028,259
ENSMUSG00000020952,1119,1344,1112,1238,968,939,989,1010
ENSMUSG00000020953,0,70,1,68,0,19,2,22
ENSMUSG00000020954,1596,914,1694,908,1138,1021,1109,1087
ENSMUSG00000020955,277,231,309,205,221,287,204,310
ENSMUSG00000035247,2984,1733,3383,1921,3122,2255,3040,2453
ENSMUSG00000035181,4222,10271,4474,11187,3913,3303,3734,3577
ENSMUSG00000020956,486,408,408,436,350,471,338,515
ENSMUSG00000035148,1,168,0,165,0,21,0,22
ENSMUSG00000035142,116,73,124,66,125,101,139,126
ENSMUSG00000035133,836,412,949,471,567,419,570,482
ENSMUSG00000061603,14,11,14,9,5,6,5,14
ENSMUSG00000035105,47,2,40,2,10,3,15,4
ENSMUSG00000044408,2995,730,3101,736,4165,805,4292,840
ENSMUSG00000054302,731,1345,726,1272,835,993,859,1000
ENSMUSG00000096349,0,3,0,0,0,1,1,0
ENSMUSG00000005656,2356,3324,2345,3061,3540,2382,3488,2408
ENSMUSG00000062929,527,322,562,306,516,579,461,581
ENSMUSG00000035021,1425,696,1498,873,746,723,800,845
ENSMUSG00000062198,105,30,105,35,126,55,131,70
ENSMUSG00000073079,83,40,79,45,68,47,56,45
ENSMUSG00000095595,280,252,243,270,205,244,180,236
ENSMUSG00000079108,1016,722,999,681,794,644,722,748
ENSMUSG00000094103,217,153,177,172,166,167,130,171
ENSMUSG00000021022,632,407,687,394,553,809,537,853
ENSMUSG00000021023,290,95,273,70,227,235,207,249
ENSMUSG00000021024,3265,2171,3323,2203,1902,2260,1985,2346
ENSMUSG00000021025,1882,1734,1775,1756,1863,1461,1783,1385
ENSMUSG00000063129,48,49,47,45,39,28,30,28
ENSMUSG00000021027,1035,419,1244,421,576,630,652,626
ENSMUSG00000012076,439,308,471,248,217,252,210,254
ENSMUSG00000021028,268,168,288,168,335,278,319,238
ENSMUSG00000079104,502,102,566,113,279,224,282,215
ENSMUSG00000047022,35,4,37,3,26,25,31,26
ENSMUSG00000020986,921,621,1087,626,776,630,797,613
ENSMUSG00000060121,214,74,218,56,97,105,99,134
ENSMUSG00000020993,1231,972,1204,950,983,1101,870,1146
ENSMUSG00000020994,1664,690,1804,810,1062,942,1073,927
ENSMUSG00000066487,171,125,158,102,144,84,135,67
ENSMUSG00000021000,3185,1740,3173,1863,3893,3568,3823,3556
ENSMUSG00000035329,1314,1289,1308,1327,1175,801,1188,866
ENSMUSG00000047227,18,11,20,14,59,37,56,46
ENSMUSG00000020948,227,201,289,230,352,255,345,307
ENSMUSG00000035614,800,529,919,532,959,570,860,598
ENSMUSG00000035597,837,389,955,429,770,606,780,623
ENSMUSG00000020949,792,334,733,342,444,249,516,283
ENSMUSG00000055884,340,64,471,67,226,48,261,63
ENSMUSG00000047534,1281,140,1356,163,1306,239,1416,259
ENSMUSG00000035560,0,3,2,2,0,0,1,0
ENSMUSG00000034892,50,27,46,27,39,19,38,24
ENSMUSG00000099021,9,3,1,0,2,1,0,2
ENSMUSG00000034883,226,19,187,31,73,15,98,23
ENSMUSG00000049751,1351,782,1149,667,906,622,892,752
ENSMUSG00000043998,3535,1743,3728,1651,2082,2282,1960,2285
ENSMUSG00000020973,443,121,441,103,208,152,182,138
ENSMUSG00000097061,80,12,102,18,77,76,86,96
ENSMUSG00000020974,510,115,441,98,150,85,164,85
ENSMUSG00000051890,82,36,104,27,99,107,96,166
ENSMUSG00000020978,596,123,623,106,568,359,535,315
ENSMUSG00000020982,1526,846,1718,869,1076,1054,1148,1160
ENSMUSG00000099250,1,5,5,1,4,4,1,2
ENSMUSG00000044147,8513,9209,8772,8915,4194,6993,4241,7365
ENSMUSG00000049882,327,161,314,155,148,255,151,256
ENSMUSG00000034801,1197,615,1319,735,1336,1073,1342,1177
ENSMUSG00000020988,158,17,207,7,113,40,99,32
ENSMUSG00000054894,131,21,121,30,142,108,137,96
ENSMUSG00000034761,461,106,469,99,437,225,388,222
ENSMUSG00000021066,56,7,53,8,77,17,62,21
ENSMUSG00000021067,1171,1982,1195,1983,1598,1691,1685,1750
ENSMUSG00000021068,1652,504,1834,531,1273,878,1352,916
ENSMUSG00000021069,1213,537,1195,596,3575,590,3139,540
ENSMUSG00000021072,3118,1867,3465,1914,2072,2363,2092,2502
ENSMUSG00000048285,786,115,712,101,1144,230,986,247
ENSMUSG00000021076,1687,1274,1700,1274,1289,1051,1389,1096
ENSMUSG00000060073,567,913,565,870,388,540,390,549
ENSMUSG00000048118,925,2569,1062,2632,2176,2173,2069,2414
ENSMUSG00000021079,203,37,250,21,78,120,82,108
ENSMUSG00000034601,361,98,407,87,544,138,556,172
ENSMUSG00000034574,505,816,572,827,434,399,459,476
ENSMUSG00000019718,24,2,22,2,38,9,23,9
ENSMUSG00000005078,806,310,778,320,651,667,638,604
ENSMUSG00000021087,48,76,60,98,177,22,158,17
ENSMUSG00000021090,7,9,7,9,41,9,33,13
ENSMUSG00000034501,275,109,247,91,280,193,268,213
ENSMUSG00000021094,879,377,832,357,1121,551,1030,569
ENSMUSG00000021096,1719,920,1683,834,1714,1506,1774,1490
ENSMUSG00000021103,394,173,449,201,514,323,479,353
ENSMUSG00000034442,403,148,376,147,234,272,207,272
ENSMUSG00000044712,368,181,401,182,945,453,983,464
ENSMUSG00000021108,1258,549,1077,555,1518,2492,1572,2479
ENSMUSG00000021109,3553,5255,3658,5072,2276,2027,2265,2185
ENSMUSG00000021113,368,158,359,163,222,255,207,275
ENSMUSG00000046768,284,89,242,79,156,8,145,11
ENSMUSG00000021051,1432,1087,1531,1210,1156,1072,1147,1142
ENSMUSG00000045690,6466,4965,5897,4361,6066,3670,6057,3798
ENSMUSG00000021054,3001,2266,3290,2180,6127,3719,5995,3852
ENSMUSG00000063450,139,72,176,72,237,38,291,40
ENSMUSG00000021048,855,68,898,84,328,255,373,239
ENSMUSG00000056459,160,92,214,89,153,106,146,106
ENSMUSG00000033454,650,483,738,518,638,687,611,713
ENSMUSG00000059970,301,409,304,396,258,133,243,120
ENSMUSG00000073000,27,8,31,8,29,31,13,14
ENSMUSG00000052609,1681,430,1711,489,1727,1101,1616,1106
ENSMUSG00000021061,107,35,100,29,46,26,54,30
ENSMUSG00000090258,149,154,183,150,167,143,187,155
ENSMUSG00000033373,410,150,428,147,276,167,345,184
ENSMUSG00000021062,29,46,15,46,5,30,3,20
ENSMUSG00000059436,2006,7360,2029,7469,2591,5301,2544,5659
ENSMUSG00000021065,675,700,685,730,804,277,743,314
ENSMUSG00000047454,543,290,574,325,579,332,582,344
ENSMUSG00000021112,523,315,577,307,872,428,808,435
ENSMUSG00000021114,2291,8601,2180,8628,3009,3041,2969,3073
ENSMUSG00000021116,2807,2948,2915,3015,1195,2026,1250,2093
ENSMUSG00000021118,1,1,1,1,1,2,2,0
ENSMUSG00000046157,1987,7601,1978,8325,4348,5190,3901,5322
ENSMUSG00000021120,338,197,338,205,383,482,405,535
ENSMUSG00000021125,3,2,9,2,13,7,13,5
ENSMUSG00000021124,1439,1045,1294,1088,1302,1558,1314,1618
ENSMUSG00000066441,1549,403,1698,479,1161,549,1173,501
ENSMUSG00000021123,27,6,11,3,80,2,39,3
ENSMUSG00000066440,1072,1555,1239,1856,1676,1537,1652,1535
ENSMUSG00000059060,38,3,43,6,49,13,49,12
ENSMUSG00000021127,2640,878,2657,965,4799,3179,4231,2909
ENSMUSG00000097729,157,88,127,83,307,333,313,296
ENSMUSG00000015143,6587,1544,6432,1536,3161,1207,3072,1198
ENSMUSG00000049106,1135,656,1151,627,1067,1089,1086,1122
ENSMUSG00000032705,313,108,310,106,352,269,367,284
ENSMUSG00000021131,547,216,572,261,294,151,267,194
ENSMUSG00000048833,1766,605,1923,772,1609,1383,1598,1443
ENSMUSG00000021133,4321,4738,4450,5070,7335,8511,7501,8485
ENSMUSG00000021134,2367,1494,2263,1425,3823,2871,3817,3045
ENSMUSG00000091803,209,103,177,97,150,122,152,123
ENSMUSG00000090935,1043,743,1098,741,843,820,806,850
ENSMUSG00000002679,539,610,501,600,460,492,413,563
ENSMUSG00000042724,1083,599,1143,711,309,616,338,735
ENSMUSG00000021140,855,611,886,637,728,744,676,775
ENSMUSG00000042700,1008,903,955,989,1174,1190,1220,1255
ENSMUSG00000021222,255,91,252,75,424,304,379,348
ENSMUSG00000042628,799,628,815,638,2070,1084,1900,979
ENSMUSG00000097703,53,38,57,29,38,38,44,28
ENSMUSG00000010608,3280,1788,3487,1957,2672,2312,2863,2423
ENSMUSG00000019969,3859,4395,3907,4273,3669,3539,3580,3316
ENSMUSG00000021224,2260,1337,2175,1338,1102,2213,1087,2256
ENSMUSG00000046791,532,87,497,122,123,264,121,269
ENSMUSG00000021226,212,24,199,22,256,210,241,227
ENSMUSG00000072949,39,2,25,1,70,14,47,7
ENSMUSG00000043487,20,7,31,2,8,5,9,5
ENSMUSG00000042523,87,97,106,73,148,75,167,86
ENSMUSG00000042507,1125,348,1217,328,1557,1053,1506,1098
ENSMUSG00000072946,1127,462,1215,419,1751,1491,1645,1522
ENSMUSG00000042472,587,353,629,393,571,468,597,461
ENSMUSG00000021234,22,5,17,7,26,19,11,12
ENSMUSG00000021235,286,121,266,99,233,153,252,195
ENSMUSG00000021236,623,187,676,195,594,150,591,169
ENSMUSG00000098134,271,106,277,112,266,160,292,175
ENSMUSG00000021238,487,93,510,115,1008,263,939,288
ENSMUSG00000085793,251,91,301,101,183,177,190,167
ENSMUSG00000021240,339,165,306,153,362,389,354,404
ENSMUSG00000021242,22302,46367,20939,45768,23447,65893,21727,67910
ENSMUSG00000021241,636,682,592,530,397,519,365,570
ENSMUSG00000002020,81,5,69,3,9,7,12,4
ENSMUSG00000042350,1470,7938,1545,8270,1706,3209,1630,3540
ENSMUSG00000021243,401,409,363,371,321,487,338,444
ENSMUSG00000021244,1270,402,1399,411,967,714,987,729
ENSMUSG00000042320,58,15,55,11,101,50,111,40
ENSMUSG00000004789,3221,1304,3343,1400,2316,2329,2314,2483
ENSMUSG00000004791,2,7,6,2,1,4,1,0
ENSMUSG00000004788,908,851,866,843,883,1247,879,1198
ENSMUSG00000021245,376,96,398,81,474,319,461,354
ENSMUSG00000008822,147,68,109,84,161,154,159,180
ENSMUSG00000034290,4680,2943,5031,3084,3827,3754,3852,4006
ENSMUSG00000021248,9432,7267,9715,7620,6345,10227,6808,10522
ENSMUSG00000021250,4812,4828,4459,5024,434,2065,404,2328
ENSMUSG00000034271,384,280,397,269,213,305,215,308
ENSMUSG00000034266,57,33,43,32,125,171,114,146
ENSMUSG00000034258,5,0,4,0,1,1,6,1
ENSMUSG00000021252,1201,442,1138,496,548,494,598,448
ENSMUSG00000012609,316,117,390,121,355,170,332,178
ENSMUSG00000021253,172,349,145,419,17,78,13,96
ENSMUSG00000007867,195,190,175,210,132,99,122,80
ENSMUSG00000021254,888,545,986,624,1066,936,887,1077
ENSMUSG00000097488,115,53,104,48,140,122,149,121
ENSMUSG00000021256,48,0,56,1,8,4,6,1
ENSMUSG00000021257,233,53,248,47,146,120,101,132
ENSMUSG00000034168,1911,3071,1911,3147,310,2106,350,2305
ENSMUSG00000034157,461,520,551,459,675,1478,681,1492
ENSMUSG00000034126,405,312,441,319,456,338,416,402
ENSMUSG00000021033,440,202,442,225,448,296,423,262
ENSMUSG00000034111,774,1176,914,1490,729,721,677,876
ENSMUSG00000090812,14,91,18,81,8,26,6,39
ENSMUSG00000072919,10,91,9,108,12,26,15,21
ENSMUSG00000021038,2441,9471,2464,9271,3723,8275,3388,8563
ENSMUSG00000021037,4615,18382,4557,18191,2275,18954,2307,20564
ENSMUSG00000050671,7,69,11,71,4,9,9,13
ENSMUSG00000021036,2754,4398,2964,4187,2309,2705,2171,3032
ENSMUSG00000079036,303,140,312,156,197,265,213,288
ENSMUSG00000021040,645,1131,502,985,573,659,504,701
ENSMUSG00000021039,1449,2639,1476,2662,1880,2899,1614,2964
ENSMUSG00000021044,474,588,439,624,403,447,405,485
ENSMUSG00000007682,20,72,18,67,14,29,7,30
ENSMUSG00000061533,635,234,688,289,776,270,811,250
ENSMUSG00000020962,833,1183,894,1168,756,961,821,991
ENSMUSG00000020961,38,63,58,87,25,77,20,91
ENSMUSG00000020964,6808,3362,7325,3450,5274,4066,5420,4254
ENSMUSG00000094935,53,26,44,38,53,48,38,46
ENSMUSG00000047414,575,2763,535,3096,190,1273,167,1594
ENSMUSG00000021003,2607,714,2828,833,5147,1491,5080,1545
ENSMUSG00000021886,1723,3118,1860,3378,3170,4559,2925,4990
ENSMUSG00000021007,152,86,168,93,229,122,216,148
ENSMUSG00000021009,240,61,290,74,421,188,462,181
ENSMUSG00000021012,1536,804,1643,782,1602,1151,1637,1124
ENSMUSG00000051166,31,21,48,11,33,30,26,36
ENSMUSG00000021013,242,125,215,145,323,218,273,189
ENSMUSG00000099597,344,195,388,190,372,182,411,177
ENSMUSG00000033713,215,145,313,180,307,163,268,175
ENSMUSG00000021176,217,71,205,84,133,40,147,37
ENSMUSG00000021177,483,103,494,116,315,116,299,117
ENSMUSG00000045404,1652,803,1544,770,581,939,645,1003
ENSMUSG00000021178,3595,2839,3653,2636,2540,2812,2451,2873
ENSMUSG00000021179,496,421,513,446,668,440,620,388
ENSMUSG00000001175,30945,45721,31428,43852,17206,17569,18117,17705
ENSMUSG00000033530,1133,520,1069,483,686,1121,756,1153
ENSMUSG00000021180,570,103,620,138,397,201,442,166
ENSMUSG00000021185,1409,429,1506,445,2038,2166,2122,2143
ENSMUSG00000047415,55,10,49,8,299,35,198,23
ENSMUSG00000041846,1800,1140,1971,1299,1294,1296,1356,1411
ENSMUSG00000097121,12,3,7,4,13,10,14,7
ENSMUSG00000021186,126,44,108,35,216,15,153,9
ENSMUSG00000021188,1772,688,1915,729,1305,1071,1321,1231
ENSMUSG00000021189,1669,341,1956,321,1983,1065,2014,1171
ENSMUSG00000041781,1999,1877,2053,1997,1378,1621,1438,1701
ENSMUSG00000044456,951,189,996,228,1814,471,1691,369
ENSMUSG00000021190,32021,43075,29465,40755,52810,105452,47996,104270
ENSMUSG00000021192,1138,725,1142,816,1000,926,1009,1025
ENSMUSG00000057963,736,946,683,978,830,843,754,815
ENSMUSG00000041716,65,85,67,83,63,73,53,82
ENSMUSG00000046675,355,490,335,527,320,605,328,639
ENSMUSG00000091931,138,110,146,119,83,98,105,101
ENSMUSG00000041712,1210,568,1285,627,991,682,968,681
ENSMUSG00000041702,375,285,412,315,480,372,379,454
ENSMUSG00000021200,19,7,16,3,97,26,86,26
ENSMUSG00000021203,96,29,107,38,234,59,171,71
ENSMUSG00000041645,3228,3424,3255,3420,2395,3236,2285,3233
ENSMUSG00000064215,673,486,655,473,931,104,814,100
ENSMUSG00000079017,9968,15783,8268,13559,15140,18245,14520,18667
ENSMUSG00000066363,2,2448,0,2494,8,92,6,80
ENSMUSG00000041481,3,6673,1,6671,12,254,8,251
ENSMUSG00000079014,0,19,0,43,0,1,0,1
ENSMUSG00000041415,1615,592,1850,741,1238,840,1295,874
ENSMUSG00000100975,161,24,169,24,127,94,120,68
ENSMUSG00000054150,1068,120,1140,138,774,450,637,456
ENSMUSG00000021102,904,358,846,289,565,377,559,413
ENSMUSG00000041341,706,94,733,117,820,585,782,602
ENSMUSG00000044715,854,607,887,601,758,707,696,748
ENSMUSG00000021111,4949,3387,5302,3433,3846,4265,4231,4368
ENSMUSG00000021115,846,1154,911,1243,796,373,826,443
ENSMUSG00000056770,2529,1947,2500,2260,2317,1611,2316,1652
ENSMUSG00000021258,1279,857,1255,947,1329,1366,1329,1405
ENSMUSG00000021262,2970,5228,2534,5253,2506,3555,2320,3310
ENSMUSG00000021263,144,273,121,276,72,103,101,102
ENSMUSG00000021264,1825,834,1996,842,1565,1530,1557,1734
ENSMUSG00000021265,21,4,22,3,7,4,11,2
ENSMUSG00000048856,4,3,8,1,7,5,4,5
ENSMUSG00000021266,1706,7048,1799,7188,1268,2361,1228,2305
ENSMUSG00000040877,125,80,128,81,115,135,112,145
ENSMUSG00000017843,4634,3280,4869,3403,6034,5760,5794,5986
ENSMUSG00000018707,8427,13081,9114,15266,9544,9909,9488,10450
ENSMUSG00000021270,3295,1845,3440,1894,983,1368,1096,1354
ENSMUSG00000037957,511,395,531,371,540,534,488,589
ENSMUSG00000056458,21,20,17,18,91,12,77,17
ENSMUSG00000097650,11,0,6,1,25,1,10,2
ENSMUSG00000097832,30,6,22,2,103,13,80,10
ENSMUSG00000021271,244,190,291,161,382,359,374,385
ENSMUSG00000021276,859,282,935,281,451,325,406,325
ENSMUSG00000021275,599,605,604,644,628,569,574,569
ENSMUSG00000037904,128,46,107,44,28,61,38,64
ENSMUSG00000037896,1633,807,1827,814,1415,1528,1501,1497
ENSMUSG00000021277,907,270,958,285,414,531,515,641
ENSMUSG00000021279,1764,1325,1753,1378,1485,1133,1332,1141
ENSMUSG00000021280,9,1,6,3,21,6,13,7
ENSMUSG00000097081,9,0,5,0,17,3,3,5
ENSMUSG00000021281,1133,791,1137,696,6865,1441,6049,1241
ENSMUSG00000021282,5035,1780,5464,1927,4268,4584,4281,4698
ENSMUSG00000064493,24,12,21,10,14,7,18,8
ENSMUSG00000007411,1074,730,1149,757,983,773,1005,766
ENSMUSG00000001270,11757,7042,11479,7285,7562,10262,7123,10896
ENSMUSG00000060950,424,40,406,41,19,188,31,200
ENSMUSG00000049792,558,205,588,175,377,362,384,371
ENSMUSG00000037787,565,217,527,239,450,449,452,388
ENSMUSG00000021288,2164,1358,2091,1333,1750,1456,1763,1382
ENSMUSG00000021287,289,94,276,96,174,103,168,115
ENSMUSG00000021286,375,100,318,69,296,107,285,75
ENSMUSG00000021285,1175,1822,1207,1886,751,1386,686,1389
ENSMUSG00000021290,1011,863,990,723,954,569,856,699
ENSMUSG00000037679,3404,1133,3201,1198,761,570,780,678
ENSMUSG00000011148,3772,1051,3255,995,1381,604,1312,572
ENSMUSG00000064326,490,233,476,186,426,199,393,226
ENSMUSG00000001729,7440,3125,7306,3127,5788,4156,5724,4281
ENSMUSG00000037638,223,228,268,254,340,209,295,220
ENSMUSG00000072825,1007,263,1088,322,886,839,902,807
ENSMUSG00000052160,8871,10395,8558,9813,19341,44263,17714,43384
ENSMUSG00000072812,632,414,553,466,1496,1655,1544,1491
ENSMUSG00000037594,89,74,96,52,79,66,75,74
ENSMUSG00000047832,1202,406,1216,461,870,504,819,482
ENSMUSG00000021298,280,112,261,88,623,205,523,180
ENSMUSG00000002799,150,21,152,24,106,10,114,4
ENSMUSG00000002804,239,116,187,117,365,202,333,183
ENSMUSG00000011158,666,310,616,343,619,443,615,442
ENSMUSG00000002803,280,76,298,60,344,106,391,102
ENSMUSG00000021143,1870,4757,1982,4897,2920,2444,2904,2383
ENSMUSG00000021144,1267,525,1310,563,1515,1119,1568,1019
ENSMUSG00000006356,42,14,33,14,32,31,27,20
ENSMUSG00000006360,5382,4234,4881,3888,3384,744,3273,750
ENSMUSG00000037466,486,168,529,140,257,53,274,57
ENSMUSG00000092683,1,0,0,0,7,0,13,0
ENSMUSG00000092737,0,0,0,1,11,0,3,0
ENSMUSG00000092748,1,0,1,0,8,1,9,0
ENSMUSG00000042063,587,342,677,361,845,611,762,635
ENSMUSG00000042050,196,94,241,91,218,122,216,96
ENSMUSG00000021171,1531,868,1603,843,1202,935,1242,1128
ENSMUSG00000042029,1675,1158,1926,1091,3294,3449,3240,3908
ENSMUSG00000041992,620,370,750,400,316,560,375,668
ENSMUSG00000021175,544,184,559,231,209,1015,322,1057
ENSMUSG00000025323,206,169,219,162,240,240,253,284
ENSMUSG00000025321,8,6,3,5,3,0,3,2
ENSMUSG00000021908,1003,595,1067,588,7472,1464,6889,1257
ENSMUSG00000064373,31520,16679,31735,16408,248590,32336,208792,26343
ENSMUSG00000091119,19,5,21,2,118,10,121,5
ENSMUSG00000022184,421,1088,385,1073,344,562,347,545
ENSMUSG00000041935,929,1297,987,1341,2465,2219,2445,2517
ENSMUSG00000022186,5918,21776,6130,22935,6527,3734,6856,3537
ENSMUSG00000041849,148,114,183,111,524,161,418,160
ENSMUSG00000041841,534,346,388,283,462,265,456,329
ENSMUSG00000068706,1785,1287,1710,1216,1713,1176,1707,1182
ENSMUSG00000050697,2260,1523,2438,1506,1600,1730,1587,1934
ENSMUSG00000022151,643,332,562,366,700,694,665,733
ENSMUSG00000039942,676,415,631,401,518,618,493,648
ENSMUSG00000022150,54645,13027,56786,14154,47710,16624,54841,14945
ENSMUSG00000022148,6560,4550,6736,4813,8273,15262,8014,16082
ENSMUSG00000050310,762,620,802,661,544,700,531,745
ENSMUSG00000054263,639,166,710,219,1896,414,1875,396
ENSMUSG00000039828,329,308,377,338,308,256,311,275
ENSMUSG00000098281,365,274,321,268,375,270,360,223
ENSMUSG00000022142,1590,368,1801,407,986,457,1033,519
ENSMUSG00000039801,373,113,401,165,498,244,464,261
ENSMUSG00000022141,2232,1350,2754,1387,3153,1940,2945,2184
ENSMUSG00000022253,344,163,341,147,581,303,541,313
ENSMUSG00000054115,698,201,734,173,453,497,493,404
ENSMUSG00000039704,366,125,519,105,506,443,491,473
