ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000054702,260,330,251,312,171,181,171,161
ENSMUSG00000073643,281,744,233,760,227,592,190,718
ENSMUSG00000026248,701,624,676,616,594,746,602,710
ENSMUSG00000026249,29,33,38,18,41,21,25,16
ENSMUSG00000004364,2992,1913,3194,1928,2438,2104,2641,2213
ENSMUSG00000038608,3665,2739,4103,3012,3403,5754,3714,6265
ENSMUSG00000054976,0,21,1,29,1,18,0,24
ENSMUSG00000026142,1191,974,1277,1048,1007,2050,994,2218
ENSMUSG00000026150,2046,1724,2086,1632,1848,1463,1952,1551
ENSMUSG00000026159,2835,1756,2990,1802,1752,1743,1852,1894
ENSMUSG00000045658,13068,5303,13235,5309,9678,6776,9924,7146
ENSMUSG00000036766,250,59,258,86,82,34,79,16
ENSMUSG00000026219,7090,10816,8133,11813,7017,6562,6851,7122
ENSMUSG00000073633,99,120,100,122,128,60,155,66
ENSMUSG00000052477,137,4010,109,3275,343,5900,246,4869
ENSMUSG00000098842,1070,687,967,691,1084,749,958,703
ENSMUSG00000089844,16,758,14,590,43,449,25,390
ENSMUSG00000089652,4,49,4,38,5,22,5,32
ENSMUSG00000070034,948,10617,978,10949,1603,7795,1410,7752
ENSMUSG00000070031,670,11154,616,10957,1521,9181,1282,9291
ENSMUSG00000026222,3493,28357,3586,30197,8159,22050,8144,22158
ENSMUSG00000052760,598,1393,696,1414,538,883,636,893
ENSMUSG00000036707,5896,4449,6779,4529,5881,6128,5595,6382
ENSMUSG00000026223,5042,5786,4924,6067,8004,6995,7368,7347
ENSMUSG00000049608,0,24,2,16,2,30,5,19
ENSMUSG00000100108,0,0,0,3,0,2,0,2
ENSMUSG00000026229,4318,2177,4669,2171,2390,2268,2307,2219
ENSMUSG00000026228,93,742,70,617,70,568,49,609
ENSMUSG00000062590,223,177,231,184,246,127,220,128
ENSMUSG00000079445,196,4,193,1,102,4,98,3
ENSMUSG00000026234,10825,3970,11480,4081,8143,5117,7765,5413
ENSMUSG00000026238,11493,8017,11241,7998,6057,3172,6489,3295
ENSMUSG00000026239,941,509,877,530,876,657,744,690
ENSMUSG00000026240,565,349,548,324,479,489,504,526
ENSMUSG00000053333,611,421,591,412,636,382,662,375
ENSMUSG00000026254,2489,2251,2464,2205,2010,2153,2069,2201
ENSMUSG00000048000,1530,517,1771,563,1313,1089,1369,1176
ENSMUSG00000026288,12008,6173,13257,6630,10062,9183,9912,9299
ENSMUSG00000026289,930,1034,934,997,744,1117,701,1239
ENSMUSG00000056055,26,19,11,23,17,18,20,16
ENSMUSG00000070738,4184,1326,4339,1455,4813,3853,4657,4200
ENSMUSG00000005501,548,581,589,577,513,515,481,527
ENSMUSG00000090124,1434,995,1569,1143,2714,1290,2522,1323
ENSMUSG00000054545,19,4,27,7,83,16,102,27
ENSMUSG00000079429,64,17,87,6,236,28,253,19
ENSMUSG00000044783,3816,900,3956,920,3706,1114,3971,1199
ENSMUSG00000062310,57,263,77,283,20,122,24,132
ENSMUSG00000100798,24,6,35,9,3,1,3,1
ENSMUSG00000100367,18,5,12,4,34,12,30,11
ENSMUSG00000049866,5029,2555,5130,2648,7789,3625,6641,3510
ENSMUSG00000036206,160,127,168,135,231,102,207,118
ENSMUSG00000055013,2142,254,2179,270,1163,361,1112,362
ENSMUSG00000034486,22,1,25,1,9,3,16,2
ENSMUSG00000034432,1453,1040,1402,1051,1080,1086,1068,1157
ENSMUSG00000048126,4,13,1,4,5,27,1,22
ENSMUSG00000026303,11,0,14,0,32,2,34,3
ENSMUSG00000026305,3586,2474,3890,2734,2494,2691,2360,2748
ENSMUSG00000070732,35,6,50,5,47,10,71,5
ENSMUSG00000034353,77,37,70,16,409,18,316,13
ENSMUSG00000034343,976,631,891,571,1063,855,971,910
ENSMUSG00000026307,717,698,753,658,790,657,744,632
ENSMUSG00000026309,759,311,752,318,612,487,621,495
ENSMUSG00000067071,497,250,414,279,543,335,554,354
ENSMUSG00000055866,82,28,79,21,89,45,88,66
ENSMUSG00000034292,152,86,153,67,102,131,102,105
ENSMUSG00000026311,266,112,311,115,271,171,247,177
ENSMUSG00000026313,625,165,672,172,515,429,592,475
ENSMUSG00000026260,2253,1668,2094,1646,1714,1702,1766,1655
ENSMUSG00000073616,980,1173,966,1055,917,875,980,1040
ENSMUSG00000034220,167,461,164,374,97,106,79,92
ENSMUSG00000034212,2,11,1,5,4,45,3,37
ENSMUSG00000047067,126,1149,121,1038,139,494,112,514
ENSMUSG00000026269,2056,4437,1906,4537,2141,2244,2186,2270
ENSMUSG00000026270,241,270,243,287,286,247,270,224
ENSMUSG00000026271,173,836,162,794,48,696,44,633
ENSMUSG00000014602,3,13,5,18,1,1,0,1
ENSMUSG00000026273,310,228,288,220,402,303,343,306
ENSMUSG00000026274,460,80,492,91,188,56,201,42
ENSMUSG00000026275,1505,978,1571,945,1243,1233,1299,1390
ENSMUSG00000034088,7532,4423,8029,4660,5966,4364,6147,4408
ENSMUSG00000026276,6345,3453,7100,3375,6164,4207,6251,4428
ENSMUSG00000034066,73,25,70,21,68,52,92,56
ENSMUSG00000026277,1488,796,1531,710,1712,917,1650,1005
ENSMUSG00000026278,40,4,15,4,4,0,1,0
ENSMUSG00000026279,502,189,461,177,639,382,588,374
ENSMUSG00000026280,1066,678,1022,649,1735,1059,1740,1087
ENSMUSG00000026281,1118,276,969,300,483,247,534,244
ENSMUSG00000026283,479,116,526,120,310,363,302,385
ENSMUSG00000073609,298,133,285,123,441,276,466,307
ENSMUSG00000051185,1004,545,926,509,1474,1018,1268,1207
ENSMUSG00000040710,1208,194,1299,171,4799,1020,4332,995
ENSMUSG00000100454,356,197,369,199,243,219,204,218
ENSMUSG00000044768,2918,3711,2894,3784,2244,2609,2093,3110
ENSMUSG00000040648,1178,1100,1335,1217,1033,1166,1070,1274
ENSMUSG00000026333,114,60,147,40,145,49,154,53
ENSMUSG00000026335,1894,885,1915,864,1632,918,1628,1002
ENSMUSG00000100009,7,7,17,7,27,4,16,3
ENSMUSG00000099375,23,7,26,3,7,3,22,7
ENSMUSG00000056536,1440,1074,1627,1163,1092,972,1065,1032
ENSMUSG00000076999,24,24,27,21,24,9,29,19
