Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000020541,141.666496592248,-1.15369934462533,0.225591943434703,-5.11409816795722,3.15243390806134e-07,9.18091391410515e-07,Tom1l1
ENSMUSG00000054079,370.265761237853,1.11928453847142,0.15679459309406,7.13854040744868,9.43271432044911e-13,3.9920879160183895e-12,Utp18
ENSMUSG00000059474,437.620855571852,-0.931313408121459,0.127366089181551,-7.31209864498503,2.63001911784879e-13,1.14559058827201e-12,Mbtd1
ENSMUSG00000020857,61.193836658452,1.03197482716874,0.356010579945856,2.89871954739572,0.0037468988055628,0.0068892106507213,Nme2
ENSMUSG00000037601,332.372883469121,-0.26405563557035,0.163563745458082,-1.61438975875019,0.106442911707082,0.147846559816747,Nme1
ENSMUSG00000020859,3576.5385395268,0.188453303968702,0.0677806093473426,2.78034242806775,0.0054301605399836,0.009739601896622,Spag9
ENSMUSG00000037573,443.977825877432,-0.218291910912807,0.123376488059399,-1.76931532374071,0.0768412675908271,0.110442235055656,Tob1
ENSMUSG00000020863,2643.24392411945,0.348836943798582,0.06893441200279,5.06041806499291,4.18338201517849e-07,1.20461009372454e-06,Luc7l3
ENSMUSG00000020864,2433.2869327157,0.571748194890943,0.06896338576878,8.29060505828262,1.12673823162602e-16,5.81142622514525e-16,Ankrd40
ENSMUSG00000020865,3050.15732256552,-0.370345905128575,0.0725651162708734,-5.10363552297135,3.33189705057341e-07,9.68105493371943e-07,Abcc3
ENSMUSG00000039110,9.02698289520993,0.200505043448681,0.810823349877635,0.247285729350222,0.80468710222951,0.844827010498001,Mycbpap
ENSMUSG00000039096,64.2844394477856,0.248755256353661,0.331756340018234,0.749813119893924,0.453367265831711,0.525209830713276,Rsad1
ENSMUSG00000076435,175.54432190094,-0.4819580879285,0.211756943781849,-2.27599661820305,0.0228462120226569,0.0367458403749978,Acsf2
ENSMUSG00000020869,3779.90161731913,0.465717636980862,0.0644128946837857,7.23019263871236,4.82309390965425e-13,2.0706069602536897e-12,Lrrc59
ENSMUSG00000039055,289.072049306724,-1.66133536631898,0.179972742812547,-9.23103876929501,2.68019886952597e-20,1.60287155888604e-19,Eme1
ENSMUSG00000024414,845.225589363551,0.755921019218144,0.103494949169002,7.30394116126155,2.79458622978409e-13,1.21600428615657e-12,Mrpl27
ENSMUSG00000020868,4879.25210811854,1.14297221655169,0.0591973706098405,19.30782068151,4.61645315400541e-83,8.88046741130719e-82,Xylt2
ENSMUSG00000056008,5.14154182254121,3.46541177642564,1.40680981977373,2.46331218883802,0.0137659994875791,0.0230747706576031,Gm11541
ENSMUSG00000020870,75.2712197228681,1.27693674425676,0.304914120729475,4.18785703070038,2.81600810334806e-05,6.77388964237951e-05,Cdc34-ps
ENSMUSG00000001506,11.0423060539497,0.247568505336078,0.728557687210988,0.339806318266713,0.734002389469902,0.784828545366427,Col1a1
ENSMUSG00000038976,4291.61551296738,0.220120306726859,0.0612306647311418,3.59493576777888,0.0003244716204963,0.0006892889064421,Ppp1r9b
ENSMUSG00000047181,10.1447046832462,-2.88804847864869,0.880474819185044,-3.28010343478287,0.0010376903476107,0.0020669629748892,Samd14
ENSMUSG00000038967,412.237959000967,-1.23199806738,0.131192204230244,-9.39078716306827,5.95534989988696e-21,3.65582582334727e-20,Pdk2
