Condition1,Condition2,Reaction,MeanFluxCond1,MeanFluxCond2,Log2MeanFluxRatio,P,Padj
naive,ccr2_depleted,S3T3g,0.05955529899651404,0.01760810894233957,1.757989902733513,0.0,0.0
naive,ccr2_depleted,S3TASE1ly,0.05955529899651645,0.01760810894233957,1.7579899027335715,0.0,0.0
naive,ccr2_depleted,S3TASE2ly,0.05955529899651648,0.01760810894233957,1.7579899027335724,0.0,0.0
naive,ccr2_depleted,S3TASE3ly,0.059555298996516466,0.01760810894233957,1.757989902733572,0.0,0.0
naive,ccr2_depleted,S4T1g,0.10172316282844693,0.05915709378867878,0.7820251408555247,0.0,0.0
naive,ccr2_depleted,S4T2g,0.04779524518193431,0.04151559988952116,0.20321355660516344,1.8487592536138718e-78,2.0183701943123922e-78
naive,ccr2_depleted,S4T3g,0.04646216242629254,0.0035294709992043467,3.7185324289611184,0.0,0.0
naive,ccr2_depleted,S4T4g,0.04646216242629254,0.0035294709992043467,3.7185324289611184,0.0,0.0
naive,ccr2_depleted,S4T6g,0.0539279176465131,0.017641493899157843,1.6120595922974383,0.0,0.0
naive,ccr2_depleted,S4TASE2ly,0.1017231628284469,0.05915709378867879,0.7820251408555241,0.0,0.0
naive,ccr2_depleted,S6T16g,0.05583057543888137,0.00804721822693767,2.7944933640913647,0.0,0.0
naive,ccr2_depleted,S6T17g,0.055830575438881355,0.00804721822693767,2.7944933640913643,0.0,0.0
naive,ccr2_depleted,S6T18g,0.055830575438881355,0.00804721822693767,2.7944933640913643,0.0,0.0
naive,ccr2_depleted,S6T19g,0.14861816485771806,0.028390258233088116,2.3881425833295467,0.0,0.0
naive,ccr2_depleted,S6T1g,0.0514400847352159,0.019779829178972808,1.3788630523024994,0.0,0.0
naive,ccr2_depleted,S6T20g,0.05193713930258302,0.014195155741918144,1.8713678749137217,0.0,0.0
naive,ccr2_depleted,S6T21g,0.050218863128842786,0.010665631491965633,2.2352599813085248,0.0,0.0
naive,ccr2_depleted,S6T23g,0.04646216242629253,0.0035294709992043467,3.718532428961118,0.0,0.0
